"G0023500","G0085900","H0001900","H0002700","R0000100","R0001900","R0002100","R0002400","R0006500","R0009300","R0009400","R0017300","R0173600","R0214700","R0214800","R0215300","R0215301","R0220200","R0304410","R0305700","R0305800","R0307100","R0312300","R0312710","R0329800","R0329900","R0330000","R0330100","R0330200","R0393510","R0393520","R0402800","R0405210","R0405601","R0405700","R0406010","R0406511","R0406700","R0406701","R0407300","R0481600","R0481700","R0618301","R0645800","R0645801","R0655900","R0780400","R0897300","R0897301","R0988000","R1020700","R1021700","R1145800","R1146100","R1521000","R1521300","R1891700","R1892000","R2258800","R2259100","R2350010","R2446200","R2446500","R2716700","R2716800","R2718700","R2718800","R2718900","R2719000","R2719100","R2719200","R2720800","R2721000","R2721100","R2721200","R2721400","R2721500","R2722501","R2724701","R2743300","R2870110","R2870200","R2870800","R2870900","R2871300","R2871301","R2871400","R2872000","R2872300","R2872700","R2872800","R2877600","R3895400","R3914300"
-4,-4,-4,-4,3578,11,0,1,12,3,21,8,1,3,1,-4,-4,16,28,0,0,0,-4,-4,1,1,-4,-4,-4,1,1,-4,5,0,2,18000,0,8,0,-4,509,163,17919,44,0,3,1,22,0,17,-4,17,30,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1,1,3579,11,0,1,8,2,31,12,1,3,1,58,0,22,25,0,0,0,0,3000,1,-4,2,-4,-4,1,1,11,2,1,2,16225,1,49,0,4669,508,160,42908,52,0,5,1,56,0,18,-4,18,48,0,52,0,54,0,52,0,22,61,0,0,1,1,1,18,0,-4,-4,0,-4,-4,0,-4,-4,2000,4800,1,5,22925,2,2,31,1,4192,65,0,1,1,3,0,-4
-4,-4,0,0,3580,11,1,1,12,1,20,12,1,3,1,69,0,20,20,3,1,0,9500,-4,1,1,-4,-4,-4,1,1,-4,3,0,2,40000,1,45,0,2203,510,190,75229,51,0,3,6,53,0,18,-4,18,52,0,57,0,48,0,55,0,25,32,0,4,10,0,-4,-4,-4,-4,-4,2,6,-4,0,-4,-4,13600,10800,1,2,30081,2,2,28,1,2058,66,0,1,1,0,0,16
50,-4,1,1,3581,11,0,1,12,3,30,14,1,3,1,51,0,22,28,5,3,0,1159,-4,1,-4,-4,3,-4,0,0,11,1,0,2,2659,1,39,0,770,603,170,55513,28,0,3,0,37,0,18,-4,16,50,0,55,0,54,0,52,0,28,53,0,0,6,1,16,96,0,-4,-4,5,3,-4,2,6,-4,40200,23800,1,3,64000,2,2,30,1,2080,63,0,1,2,1,0,18
-4,-4,0,1,3582,11,1,1,12,-3,-3,10,1,3,1,58,0,18,21,0,0,0,3600,-4,0,-4,-4,-4,-4,1,1,-4,4,0,2,44300,1,48,0,1294,510,145,77911,26,0,5,2,15,0,-4,-4,18,6,0,23,0,33,0,56,0,29,66,0,0,3,1,14,96,0,-4,-4,3,7,-4,0,-4,-4,30000,25000,0,2,55500,2,2,26,1,2468,61,0,-4,-4,0,0,-4
-4,-4,0,1,3583,11,1,1,12,1,17,9,1,3,1,-4,-4,16,18,0,0,0,-4,-4,0,-4,-4,-4,-4,1,1,-4,4,0,2,44300,1,49,0,-4,504,120,99022,52,0,5,0,28,0,-4,-4,18,49,0,38,0,51,0,54,0,23,60,0,1,8,0,-4,-4,-4,-4,-4,3,5,-4,0,-4,-4,28500,-4,0,1,30150,2,1,25,1,-3,61,0,1,2,0,0,-4
-4,-4,0,0,3584,11,0,1,12,1,20,12,5,3,2,60,0,20,23,0,0,0,2200,15000,0,-4,-4,-4,-4,1,2,11,3,1,2,37200,0,47,0,-3,501,93,18188,18,0,5,1,19,0,-4,17,0,0,0,17,0,45,0,56,0,24,61,0,-4,-4,1,3,18,1,15,96,5,6,-4,0,-4,-4,6089,-4,1,3,6119,2,3,28,1,1034,67,0,1,2,2,0,9
-4,-4,0,0,3585,11,1,1,12,2,20,11,1,3,1,40,0,19,20,4,0,0,2172,-4,1,1,-4,-4,-4,1,2,3,3,0,2,21000,0,28,0,860,510,155,94650,0,0,2,6,10,0,19,-4,17,11,0,19,0,53,0,56,0,20,58,0,5,15,1,7,0,0,-4,-4,3,5,-4,0,-4,-4,34500,17000,0,2,51800,4,2,27,1,2080,61,0,1,3,0,0,-4
-4,-4,1,1,3586,21,0,1,12,6,26,9,5,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,98,0,-4,19,16,50,0,58,0,57,0,46,0,19,50,0,0,2,1,17,96,0,-4,-4,3,5,-4,0,-4,-4,12000,-4,0,1,12000,2,1,25,1,1697,63,0,1,2,0,0,16
-4,-4,1,1,3587,11,1,1,12,1,23,13,1,3,1,16,0,22,26,5,3,0,5000,-4,0,-4,-4,-4,-4,1,1,11,1,0,2,5000,0,26,0,1590,602,170,76091,44,0,2,4,32,0,17,-4,17,0,0,50,0,42,0,60,0,23,56,0,0,10,1,1,96,1,14,96,3,5,-4,0,-4,-4,25000,3000,0,3,28600,2,2,31,1,2080,64,0,1,3,1,1,-4
-4,-4,1,1,3588,51,1,-4,12,2,23,10,1,3,1,56,0,18,20,5,0,0,700,-4,1,1,-4,-4,-4,1,2,-4,2,0,2,10000,1,40,0,386,511,158,71155,49,0,2,2,44,0,19,-4,17,46,0,33,0,0,0,21,0,23,47,0,1,8,1,1,10,0,-4,-4,4,2,1,2,3,-4,900,-4,0,1,2600,4,1,26,1,164,8,0,1,3,0,0,-4
-4,-4,0,1,3589,11,0,1,12,2,29,12,1,3,1,59,0,20,23,6,0,1,17000,7000,1,-4,2,-4,-4,1,2,11,2,1,2,24000,1,50,0,2482,601,160,51560,51,0,2,3,54,0,16,-4,16,49,0,53,0,50,0,56,0,20,63,0,1,6,0,-4,-4,-4,-4,-4,2,5,-4,0,-4,-4,29940,650,1,3,30590,2,2,28,1,2496,64,0,1,2,1,0,15
-4,-4,-4,-4,3590,11,0,1,12,2,34,12,1,3,1,35,13,20,28,0,0,1,800,-4,1,1,2,-4,-4,0,0,-4,4,0,2,-3,1,26,0,550,509,135,90906,46,0,5,-4,34,0,18,-4,0,41,0,54,0,54,0,54,0,17,57,0,-4,-4,1,13,96,0,-4,-4,0,-4,-4,0,-4,-4,16500,-4,1,1,16500,2,1,28,1,2520,65,0,1,3,0,0,-4
-4,-4,0,0,3591,11,0,1,12,3,26,12,1,3,1,60,0,19,19,0,0,0,5013,-4,0,-4,-4,-4,-4,1,2,-4,6,0,2,-3,1,49,0,2728,510,145,77562,53,0,2,2,50,0,18,-4,17,50,0,54,0,51,0,55,0,20,60,0,2,25,0,-4,-4,-4,-4,-4,5,4,-4,0,-4,-4,29450,13000,0,2,-2,2,2,27,1,1924,67,0,1,3,0,0,15
-4,-4,0,0,3592,11,0,1,12,4,25,10,1,3,1,16,0,17,22,6,4,0,-4,-4,0,-4,-4,-4,-4,1,2,-4,6,0,2,-3,1,46,0,1260,510,150,61802,51,0,2,6,56,0,18,-4,17,30,0,56,0,52,0,42,0,28,44,0,1,10,0,-4,-4,-4,-4,-4,5,7,-4,3,7,-4,13000,8000,1,2,21000,2,2,26,1,2398,66,0,1,2,0,0,13
-4,-4,0,0,3593,11,0,1,-3,5,26,8,1,3,1,-4,-4,16,20,3,0,0,-4,-4,0,-4,-4,-4,-4,1,2,-4,6,0,2,-3,1,46,0,-4,600,143,71054,47,0,3,2,50,0,17,-4,17,47,0,53,0,53,0,54,0,20,60,0,2,15,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,13000,26000,0,2,39000,2,2,24,1,2182,67,0,1,2,0,0,15
-4,-4,1,1,3594,11,0,1,9,5,34,12,5,3,2,62,0,21,21,1,0,0,5600,-4,0,-4,-4,-4,-4,1,2,11,1,0,2,5625,0,38,0,1634,507,180,29377,52,0,2,3,8,0,-4,17,16,21,0,52,0,37,0,37,0,19,54,0,2,5,1,7,0,0,-4,-4,2,7,-4,0,-4,-4,4000,19000,0,4,23040,2,2,29,1,1910,71,0,0,0,2,0,15
-4,-4,1,1,3595,11,0,1,12,5,32,11,1,3,1,29,0,19,23,5,0,0,6000,-4,0,-4,-4,-4,-4,1,2,-4,4,0,2,-3,1,43,0,2030,603,212,40522,39,0,2,3,42,0,18,-4,16,38,0,36,0,49,0,28,0,19,49,0,1,1,0,-4,-4,-4,-4,-4,5,4,-4,5,4,-4,17000,-4,1,1,19330,2,3,28,1,117,46,0,1,3,0,0,-4
-4,-4,1,1,3596,11,0,1,12,7,30,8,1,3,1,-4,-4,15,20,0,0,0,-4,-4,1,1,-4,-4,-4,1,2,-4,4,0,2,-3,0,-4,-4,-4,510,165,48605,11,-4,1,2,37,0,-4,-4,17,54,0,50,0,54,0,50,0,23,61,0,3,6,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,21000,-4,1,1,21080,2,1,24,1,2410,68,0,1,3,0,0,-4
-4,-4,0,1,3597,11,0,1,11,10,39,13,5,3,2,34,0,21,21,0,0,0,0,-4,0,-4,-4,-4,-4,1,1,11,1,0,2,-3,1,6,0,0,506,135,54584,21,0,4,1,27,0,-4,19,18,50,0,32,0,20,0,23,0,20,55,0,-4,-4,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,950,-4,0,6,950,2,2,29,1,1210,67,0,1,2,4,0,15
-4,-4,1,0,3598,11,0,1,12,0,-4,12,1,3,1,56,0,20,26,0,0,0,19000,-4,0,-4,-4,-4,-4,1,2,-4,4,0,2,42000,1,46,0,2424,600,170,21334,54,0,2,1,53,0,-4,-4,17,50,0,55,0,52,0,52,0,26,59,0,1,4,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,33000,15000,0,2,48050,2,2,29,1,2496,66,0,1,2,0,0,-4
-4,-4,-4,-4,3599,11,1,1,12,1,19,11,1,3,1,40,0,19,23,0,0,0,4000,-4,1,1,-4,-4,-4,1,2,-4,4,0,2,42000,1,50,0,1920,511,179,52464,43,0,1,6,52,0,16,-4,16,34,0,5,0,53,0,52,0,30,65,95,3,11,0,-4,-4,-4,-4,-4,5,2,1,3,1,1,0,-4,0,1,19500,2,1,27,1,2255,72,0,1,1,0,-5,-5
